time_hours,Reliability,P_fail,P_H,P_M,P_C,P_Q,P_MC,P_QM,P_QC,P_F
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.9999826334107842,1.7366589215841953e-05,0.9999546010305644,1.4398809892511882e-05,2.1996891653329118e-06,1.1433830456217808e-05,3.166248894803576e-11,1.6225904637754158e-11,2.817297796740618e-12,1.7366589215841953e-05
1.0,0.9999570956084072,4.290439159285067e-05,0.9999092041221953,2.8795239780082015e-05,4.398756762651209e-06,1.469733884125111e-05,1.265799627613072e-10,1.9629812758007933e-11,4.618155535965608e-12,4.290439159285067e-05
1.5,0.9999292251136703,7.077488632962109e-05,0.999863809274799,4.318928997773279e-05,6.5972029439070456e-06,1.5629035152386948e-05,2.8464754697290467e-10,1.952300119836301e-11,6.626884618603908e-12,7.077488632962109e-05
2.0,0.9999006882423065,9.9311757693556e-05,0.999818416488282,5.758096080044748e-05,8.795027861016331e-06,1.5895231615996743e-05,5.05760520371168e-10,1.854489610620317e-11,9.441672767377841e-12,9.9311757693556e-05
2.5,0.9998719605617951,0.00012803943820491198,0.9997730257625504,7.197025256317022e-05,1.0992231665858738e-05,1.5971494161899036e-05,7.898143147793306e-10,1.7432958453838798e-11,1.3606289980484256e-11,0.00012803943820491198
3.0,0.9998431777999526,0.00015682220004742045,0.9997276370975114,8.635716558080612e-05,1.3188814510277716e-05,1.5993549426425818e-05,1.1367045148354808e-09,1.638374610724503e-11,1.98353394967081e-11,0.00015682220004742045
3.5,0.9998143786945507,0.00018562130544930652,0.9996822504930709,0.0001007417001682211,1.5384776546080488e-05,1.6000133825799427e-05,1.5463268577728357e-09,1.5441128865812253e-11,2.9171646850964e-11,0.00018562130544930652
4.0,0.9997855743027987,0.0002144256972013467,0.9996368659491355,0.00011512385664024199,1.7580117925038073e-05,1.6002302742950345e-05,2.018577233200335e-09,1.4606880874910825e-11,4.317079251281386e-11,0.0002144256972013467
4.5,0.9997567677824959,0.00024323221750405285,0.9995914834656117,0.00012950363531165663,1.977483879888529e-05,1.6003211386923098e-05,2.553351682883545e-09,1.3872064218984686e-11,6.416313851229256e-11,0.00024323221750405285
5.0,0.9997279600378921,0.00027203996210787304,0.9995461030424055,0.0001438810364972136,2.196893931932075e-05,1.6003760255141866e-05,3.150546400525879e-09,1.322582804738433e-11,9.564256285794254e-11,0.00027203996210787304
5.5,0.9996991513314872,0.00030084866851272596,0.9995007246794241,0.00015825606051162255,2.4162419638006903e-05,1.6004206349765567e-05,3.8100577315501336e-09,1.2657781202087151e-11,1.4284819816526886e-10,0.00030084866851272596
6.0,0.9996703417447461,0.00032965825525387325,0.9994553483765737,0.000172628707669554,2.6355279906570013e-05,1.6004623019242104e-05,4.531782172880333e-09,1.2158547519811165e-11,2.1363644935379128e-10,0.00032965825525387325
6.5,0.9996415313106446,0.0003584686893554166,0.9994099741337603,0.0001869989782856393,2.8547520276600156e-05,1.6005031197203993e-05,5.315616372723889e-09,1.1719817232160947e-11,3.1978854995416493e-10,0.0003584686893554166
7.0,0.999612720053086,0.00038727994691401603,0.999364601950891,0.00020136687267447099,3.073914089965129e-05,1.600543685808232e-05,6.161457130354081e-09,1.1334267526495186e-11,4.789713098183784e-10,0.00038727994691401603
7.5,0.9995839080005311,0.0004160919994688779,0.9993192318278721,0.00021573239115060225,3.293014192724119e-05,1.600584170694835e-05,7.069201395892828e-09,1.0995457167682107e-11,7.176773906032958e-10,0.0004160919994688779
8.0,0.9995550951934582,0.00044490480654182045,0.9992738637646099,0.00023009553402854736,3.5120523510851506e-05,1.6006246230397083e-05,8.038746270093798e-09,1.0697723737727519e-11,1.0756344598795804e-09,0.00044490480654182045
8.5,0.9995262816918452,0.0004737183081547986,0.9992284977610111,0.00024445630162278154,3.7310285801927745e-05,1.600665056727016e-05,9.069989004125809e-09,1.043609042928833e-11,1.612417036911283e-09,0.0004737183081547986
9.0,0.9994974675853334,0.00050253241466654,0.9991831338169821,0.0002588146942477409,3.9499428951879295e-05,1.6007054757160385e-05,1.016282699935655e-08,1.0206183305564444e-11,2.4173614348410307e-09,0.00050253241466654
9.5,0.9994686530081665,0.0005313469918335201,0.9991377719324294,0.0002731707122178226,4.168795311207943e-05,1.6007458811335022e-05,1.1317157807136605e-08,1.0004158349233602e-11,3.624433935673949e-09,0.0005313469918335201
10.0,0.9994398381615062,0.000560161838493878,0.9990924121072595,0.00028752435584738465,4.387585843386532e-05,1.600786273297729e-05,1.2532879128583797e-08,9.826637282977895e-12,5.4345266971884255e-09,0.000560161838493878
10.5,0.9994110233468726,0.0005889766531273659,0.9990470543413787,0.00030187562545074594,4.606314506853801e-05,1.600826652296328e-05,1.3809888814367826e-08,9.670651146936414e-12,8.148892082689584e-09,0.0005889766531273659
11.0,0.9993822090162835,0.0006177909837165489,0.999001698634694,0.0003162245213421867,4.8249813167362505e-05,1.6008670181510727e-05,1.514808486449525e-08,9.533590706969604e-12,1.2219279863799714e-08,0.0006177909837165489
11.5,0.999353395847438,0.0006466041525620038,0.9989563449871116,0.0003305710438359478,5.0435862881567685e-05,1.6009073708649538e-05,1.654736542809472e-08,9.413162870016756e-12,1.8323121592994806e-08,0.0006466041525620038
12.0,0.9993245848564623,0.0006754151435378041,0.9989109933985382,0.0003449151932462312,5.2621294362346384e-05,1.60094771043561e-05,1.8007628803202568e-08,9.307352379831007e-12,2.747627502409742e-08,0.0006754151435378041
12.5,0.999295777566977,0.0007042224330230778,0.99886564386888,0.00035925696988719976,5.480610776085534e-05,1.6009880368591594e-05,1.9528773436548684e-08,9.21438815362729e-12,4.120209254928594e-08,0.0007042224330230778
13.0,0.9992669762636284,0.0007330237363716414,0.9988202963980437,0.0003735963740729775,5.6990303228215264e-05,1.6010283501312935e-05,2.111069792334271e-08,9.132713697429854e-12,6.178495158461436e-08,0.0007330237363716414
13.5,0.9992381843722752,0.0007618156277248181,0.9987749509859358,0.0003879334061176492,5.917388091551081e-05,1.601068650247591e-05,2.2753301007060534e-08,9.060961105959778e-12,9.265044177419343e-08,0.0007618156277248181
14.0,0.9992094070301069,0.000790592969893169,0.998729607632463,0.00040226806633526086,6.135684097379059e-05,1.6011089372036054e-05,2.4456481579231082e-08,8.997928212758195e-12,1.3893548328164001e-07,0.000790592969893169
14.5,0.9991806519405773,0.0008193480594227788,0.9986842663375317,0.0004166003550398194,6.35391835540672e-05,1.601149210994891e-05,2.6220138679223432e-08,8.942558508856845e-12,2.0834326052448626e-07,0.0008193480594227788
15.0,0.9991519306554398,0.0008480693445601213,0.9986389271010484,0.0004309302725452927,6.57209088073172e-05,1.60118947161701e-05,2.8044171494034227e-08,8.893923494552475e-12,3.1242525732581927e-07,0.0008480693445601213
15.5,0.9991232604972526,0.0008767395027473668,0.9985935899229196,0.0004452578191656096,6.790201688448113e-05,1.6012297190655333e-05,2.992847935807538e-08,8.851207169484294e-12,4.6850376162299435e-07,0.0008767395027473668
16.0,0.9990946674423129,0.0009053325576871274,0.9985482548030522,0.0004595829952146603,7.008250793646357e-05,1.601269953336045e-05,3.187296175296214e-08,8.813692401932435e-12,7.025548007368438e-07,0.0009053325576871274
