time_hours,Reliability,P_fail,P_H,P_M,P_C,P_Q,P_MC,P_QM,P_QC,P_F
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.9999675991178731,3.2400882126889196e-05,0.9998818069853448,2.8791355696546188e-05,2.9985658077271966e-06,5.400204762047592e-05,8.60852912591572e-11,6.998500439457613e-11,7.333291120115015e-12,3.2400882126889196e-05
1.0,0.9999014444101912,9.855558980874398e-05,0.9997636279402784,5.75654286109493e-05,5.994264861132694e-06,7.425630095708787e-05,3.430887351640037e-10,1.2071719172730037e-10,1.167789656714147e-11,9.855558980874398e-05
1.5,0.9998226282821531,0.0001773717178469308,0.9996454628631495,8.632222747716133e-05,8.987099604011915e-06,8.18551625891772e-05,7.691460377343322e-10,1.4644255174275987e-10,1.3744773091257827e-11,0.0001773717178469308
2.0,0.9997390603819071,0.00026093961809293926,0.9995273117523072,0.00011506176102487623,1.1977072478107802e-05,8.47082611180347e-05,1.3624118777502819e-09,1.5792672745474703e-10,1.4640294301114825e-11,0.00026093961809293926
2.5,0.9996537068276904,0.00034629317230957905,0.9994091746061008,0.00014378403797953197,1.4964185923112532e-05,8.578169887700603e-05,2.1210597145742565e-09,1.6274056323176874e-10,1.5009588355314236e-11,0.00034629317230957905
3.0,0.9995676799165369,0.00043232008346302575,0.9992910514228801,0.00017248906706231272,1.794844237666925e-05,8.618776108919852e-05,3.0432815979187755e-09,1.646893746114774e-10,1.5157702509527894e-11,0.00043232008346302575
3.5,0.9994813967637542,0.0005186032362458036,0.9991729422009944,0.0002011768569901506,2.092984427437376e-05,8.634355352653583e-05,4.1272879795405514e-09,1.65464361753853e-10,1.5216336161253246e-11,0.0005186032362458036
4.0,0.9993950137920422,0.0006049862079578378,0.9990548469387939,0.00022984741647572807,2.3908394049776267e-05,8.640549040374955e-05,5.371307526841302e-09,1.6577196807450148e-10,1.523962151857744e-11,0.0006049862079578378
4.5,0.9993085896646011,0.0006914103353989262,0.9989367656346283,0.00025850075422747973,2.6884094134383077e-05,8.643222687806867e-05,6.7735869383559694e-09,1.6589686362767705e-10,1.5249159061980354e-11,0.0006914103353989262
5.0,0.9992221463849144,0.0007778536150856011,0.998818698286848,0.00028713687894959454,2.985694695765831e-05,8.644575856389402e-05,8.332390761109262e-09,1.659512009988e-10,1.525340563303647e-11,0.0007778536150856011
5.5,0.9991356922091138,0.0008643077908862134,0.9987006448938033,0.0003157557993420178,3.2826954947025624e-05,8.64543337860346e-05,1.0046001209821573e-08,1.6597851428292765e-10,1.5255630329866372e-11,0.0008643077908862134
6.0,0.9990492302380946,0.0009507697619054494,0.9985826054538453,0.0003443575241004533,3.579412052786992e-05,8.646104565038328e-05,1.191271798794559e-08,1.6599553257517632e-10,1.5257085871454623e-11,0.0009507697619054494
6.5,0.9989627616395506,0.0010372383604494067,0.9984645799653243,0.0003729420619163651,3.875844612353903e-05,8.646705406131136e-05,1.3930858110514988e-08,1.6600863968785982e-10,1.5258249375884885e-11,0.0010372383604494067
7.0,0.9988762868562342,0.0011237131437657959,0.9983465684265918,0.00040150942147698,4.171993415534545e-05,8.647279397477515e-05,1.6098755728786958e-08,1.6602025972688498e-10,1.525930177613801e-11,0.0011237131437657959
7.5,0.9987898060590522,0.0012101939409478405,0.9982285708359988,0.00043005961146528915,4.4678587042568055e-05,8.647842849194917e-05,1.841476195666032e-08,1.6603130997298104e-10,1.5260311473246368e-11,0.0012101939409478405
8.0,0.9987033193169762,0.0012966806830238078,0.9981105871918967,0.00045859264056005033,4.7634407202453754e-05,8.648401876885704e-05,2.0877244698851264e-08,1.6604213665010432e-10,1.5261304267823832e-11,0.0012966806830238078
8.5,0.9986168266607591,0.0013831733392408638,0.9979926174926372,0.00048710851743579006,5.058739705021925e-05,8.648958773230211e-05,2.3484588480808987e-08,1.660528701963391e-10,1.5262289875427567e-11,0.0013831733392408638
9.0,0.9985303281068283,0.0014696718931716867,0.9978746617365719,0.0005156072507628054,5.353755899905269e-05,8.649514397327267e-05,2.623519428035348e-08,1.6606355968195017e-10,1.5263271949604945e-11,0.0014696718931716867
9.5,0.9984438236662454,0.0015561763337545774,0.9977567199220533,0.0005440888492071666,5.6484895460115444e-05,8.650069070694261e-05,2.9127479361018194e-08,1.6607422354190322e-10,1.526425186240813e-11,0.0015561763337545774
10.0,0.9983573133480664,0.001642686651933607,0.9976387920474333,0.000572553321430718,5.9429408842543706e-05,8.650622913266109e-05,3.215987710708012e-08,1.6608486868961562e-10,1.5265230128082474e-11,0.001642686651933607
10.5,0.9982707971606012,0.0017292028393987788,0.9975208781110643,0.0006010006760910812,6.237110155345024e-05,8.651175969394408e-05,3.53308368602604e-08,1.6609549770895753e-10,1.5266206938592913e-11,0.0017292028393987788
11.0,0.9981842751118863,0.00181572488811369,0.9974029781112987,0.0006294309218416566,6.530997599792608e-05,8.651728255096883e-05,3.8638823758078446e-08,1.6610611155790545e-10,1.5267182364896615e-11,0.00181572488811369
11.5,0.9980977472098616,0.0019022527901385012,0.9972850920464896,0.0006578440673316254,6.824603457904224e-05,8.652279775775781e-05,4.208231857384281e-08,1.661167105842291e-10,1.5268156432543448e-11,0.0019022527901385012
12.0,0.9980112134624364,0.001988786537563649,0.9971672199149899,0.0006862401212059518,7.117927969785135e-05,8.652830532862144e-05,4.5659817558262254e-08,1.6612729490686928e-10,1.526912915005982e-11,0.001988786537563649
12.5,0.9979246738775149,0.002075326122485084,0.9970493617151529,0.0007146190921053853,7.41097137533894e-05,8.653380526307312e-05,4.9369832282660715e-08,1.661378645590885e-10,1.5270100519601718e-11,0.002075326122485084
13.0,0.9978381284630049,0.0021618715369950774,0.9969315174453317,0.0007429809886664617,7.703733914267742e-05,8.653929755517126e-05,5.32108894837797e-08,1.6614841954218746e-10,1.5271070540951906e-11,0.0021618715369950774
13.5,0.9977515772268212,0.002248422773178873,0.9968136871038799,0.0007713258195215063,7.996215826072311e-05,8.654478219702168e-05,5.718153091015226e-08,1.6615895984565734e-10,1.5272039213019474e-11,0.002248422773178873
14.0,0.9976650201768865,0.002334979823113521,0.9966958706891517,0.0007996535932986361,8.288417350052268e-05,8.655025918008995e-05,6.12803131700326e-08,1.6616948545473744e-10,1.5273006534402138e-11,0.002334979823113521
14.5,0.9975784573211325,0.0024215426788675326,0.9965780681995005,0.00082796431862176,8.580338725306233e-05,8.655572849569262e-05,6.55058075808653e-08,1.6617999635324832e-10,1.5273972503596977e-11,0.0024215426788675326
15.0,0.9974918886674992,0.0025081113325008436,0.9964602796332807,0.0008562580041105828,8.871980190732009e-05,8.656119013518043e-05,6.985660002027902e-08,1.6619049252465282e-10,1.5274937119079347e-11,0.0025081113325008436
15.5,0.9974053142239351,0.00259468577606489,0.9963425049888466,0.0008845346583806064,9.163341985026746e-05,8.656664409000615e-05,7.433129077858883e-08,1.6620097395245186e-10,1.5275900379332275e-11,0.00259468577606489
16.0,0.9973187339983973,0.0026812660016027265,0.9962247442645529,0.000912794290043132,9.454424346687108e-05,8.657209035174906e-05,7.892849441279222e-08,1.662114406203314e-10,1.5276862282857353e-11,0.0026812660016027265
16.5,0.9972321479988508,0.002767852001149156,0.9961069974587541,0.0009410369077052617,9.745227514009436e-05,8.657752891212317e-05,8.364683960204331e-08,1.6622189251221547e-10,1.527782282817862e-11,0.002767852001149156
17.0,0.9971455562332692,0.0028544437667308714,0.9959892645698053,0.0009692625199699012,0.00010035751725089929,8.65829597629795e-05,8.848496900459069e-08,1.662323296122847e-10,1.5278782013843894e-11,0.0028544437667308714
17.5,0.9970589587096335,0.0029410412903665903,0.9958715455960615,0.0009974711354357616,0.000103259972178248,8.658838289630598e-05,9.344153911616376e-08,1.6624275190498114e-10,1.527973983842509e-11,0.0029410412903665903
18.0,0.9969723554359328,0.0030276445640671935,0.9957538405358781,0.0010256627626973609,0.00010615964229910449,8.659379830422648e-05,9.851522012979307e-08,1.662531593750086e-10,1.5280696300518186e-11,0.0030276445640671935
18.5,0.9968857464201641,0.003114253579835861,0.9956361493876107,0.001053837410345027,0.00010905652998843628,8.659920597899966e-05,1.0370469579705006e-07,1.6626355200733105e-10,1.5281651398743074e-11,0.003114253579835861
19.0,0.9967991316703317,0.003200868329668208,0.9955184721496149,0.001081995086964899,0.00011195063761921612,8.660460591301762e-05,1.0900866329069185e-07,1.6627392978717025e-10,1.5282605131743317e-11,0.003200868329668208
19.5,0.9967125111944476,0.003287488805552417,0.9954008088202465,0.001110135801138929,0.00011484196756242361,8.660999809880454e-05,1.1442583306869691e-07,1.6628429270000326e-10,1.528355749818593e-11,0.003287488805552417
20.0,0.9966258850005306,0.003374114999469371,0.9952831593978618,0.0011382595614448853,0.0001177305221870469,8.66153825290153e-05,1.1995492873967737e-07,1.6629464073155987e-10,1.5284508496761135e-11,0.003374114999469371
20.5,0.9965392530966072,0.0034607469033927844,0.995165523880817,0.0011663663764563533,0.00012061630386008438,8.662075919643413e-05,1.255946869296543e-07,1.6630497386781995e-10,1.5285458126182126e-11,0.0034607469033927844
21.0,0.9964526154907106,0.0035473845092893314,0.9950479022674684,0.0011944562547427375,0.00012349931494654628,8.662612809397336e-05,1.3134385715018175e-07,1.663152920950109e-10,1.5286406385184814e-11,0.0035473845092893314
21.5,0.9963659721908812,0.0036340278091187782,0.9949302945561732,0.001222529204869265,0.00012637955780945648,8.663148921467194e-05,1.3720120166780657e-07,1.663255953996052e-10,1.528735327252764e-11,0.0036340278091187782
22.0,0.9962793232051659,0.003720676794834103,0.9948127007452878,0.001250585235396985,0.00012925703480985392,8.66368425516942e-05,1.4316549537484942e-07,1.663358837683175e-10,1.5288298786991266e-11,0.003720676794834103
22.5,0.9961926685416184,0.003807331458381628,0.9946951208331695,0.001278624354882773,0.00013213174830679455,8.66421880983286e-05,1.4923552566149482e-07,1.663461571881026e-10,1.5289242927378417e-11,0.003807331458381628
23.0,0.9961060082082989,0.00389399179170114,0.9945775548181753,0.0013066465718793324,0.0001350037006573528,8.664752584798633e-05,1.554100922891761e-07,1.6635641564615254e-10,1.5290185692513602e-11,0.00389399179170114
23.5,0.996019342213274,0.0039806577867260145,0.994460002698663,0.0013346518949351955,0.00013787289421662334,8.665285579420011e-05,1.6168800726524245e-07,1.663666591298943e-10,1.5291127081242915e-11,0.0039806577867260145
24.0,0.9959326705646167,0.004067329435383338,0.99434246447299,0.0013626403325947267,0.00014073933133772266,8.665817793062294e-05,1.6806809471889512e-07,1.6637688762698744e-10,1.5292067092433796e-11,0.004067329435383338
24.5,0.995845993270406,0.004154006729594025,0.994224940139514,0.0013906118933981236,0.00014360301437179077,8.666349225102676e-05,1.7454919077837985e-07,1.6638710112532151e-10,1.5293005724974812e-11,0.004154006729594025
25.0,0.995759310338727,0.004240689661272946,0.9941074296965936,0.0014185665858814202,0.00014646394566799294,8.666879874930131e-05,1.811301434494229e-07,1.6639729961301387e-10,1.5293942977775455e-11,0.004240689661272946
25.5,0.995672621777671,0.004327378222329033,0.9939899331425867,0.001446504418576487,0.00014932212757352116,8.667409741945283e-05,1.8780981249489773e-07,1.6640748307840703e-10,1.5294878849765885e-11,0.004327378222329033
26.0,0.9955859275953346,0.004414072404665404,0.9938724504758516,0.001474425400011035,0.00015217756243359593,8.66793882556029e-05,1.9458706931571065e-07,1.6641765151006655e-10,1.5295813339896758e-11,0.004414072404665404
26.5,0.9954992277998205,0.00450077220017948,0.9937549816947471,0.0015023295387086167,0.00015503025259146796,8.668467125198721e-05,2.0146079683289208e-07,1.6642780489677867e-10,1.5296746447138985e-11,0.00450077220017948
27.0,0.9954125223992369,0.004587477600763092,0.993637526797632,0.0015302168431886281,0.00015788020038841967,8.668994640295439e-05,2.0842988937088213e-07,1.6643794322754793e-10,1.5297678170483526e-11,0.004587477600763092
27.5,0.9953258114016974,0.0046741885983026,0.9935200857828652,0.001558087321966311,0.00016072740816376694,8.66952137029648e-05,2.154932525419978e-07,1.664480664915949e-10,1.5298608508941192e-11,0.0046741885983026
28.0,0.995239094815321,0.004760905184679005,0.9934026586488058,0.0015859409835527543,0.00016357187825486073,8.67004731465894e-05,2.2264980313207004e-07,1.6645817467835408e-10,1.5299537461542428e-11,0.004760905184679005
28.5,0.995152372648232,0.004847627351768057,0.9932852453938137,0.0016137778364548985,0.00016641361299708882,8.670572472850867e-05,2.2989846898723915e-07,1.6646826777747154e-10,1.5300465027337112e-11,0.004847627351768057
29.0,0.9950656449085596,0.004934355091440362,0.9931678460162481,0.0016415978891755334,0.00016925261472387721,8.67109684435112e-05,2.3723818890189584e-07,1.6647834577880267e-10,1.530139120539435e-11,0.004934355091440362
29.5,0.9949789116044385,0.005021088395561498,0.9930504605144688,0.001669401150213304,0.00017208888576669205,8.671620428649292e-05,2.446679125077577e-07,1.6648840867241008e-10,1.530231599480227e-11,0.005021088395561498
30.0,0.9948921727440079,0.005107827255992117,0.9929330888868358,0.0016971876280627107,0.00017492242845504108,8.67214322524557e-05,2.521866001640683e-07,1.6649845644856155e-10,1.5303239394667842e-11,0.005107827255992117
30.5,0.994805428335412,0.0051945716645880515,0.9928157311317094,0.0017249573312141113,0.0001777532451164754,8.672665233650642e-05,2.597932228489086e-07,1.665084890977276e-10,1.5304161404116664e-11,0.0051945716645880515
31.0,0.9947186783867996,0.005281321613200421,0.9926983872474499,0.0017527102681537236,0.00018058133807659105,8.673186453385578e-05,2.6748676205160837e-07,1.665185066105796e-10,1.5305082022292777e-11,0.005281321613200421
31.5,0.9946319229063243,0.005368077093675736,0.9925810572324175,0.0017804464473636268,0.00018340670965903057,8.67370688398172e-05,2.752662096662476e-07,1.6652850897798767e-10,1.5306001248358467e-11,0.005368077093675736
32.0,0.994545161902144,0.005454838097856,0.9924637410849736,0.0018081658773217647,0.00018622936218548489,8.674226524980586e-05,2.8313056788623603e-07,1.665384961910185e-10,1.5306919081494078e-11,0.005454838097856
32.5,0.9944583953824212,0.005541604617578811,0.9923464388034787,0.001835868566501946,0.00018904929797569465,8.674745375933752e-05,2.9107884909996004e-07,1.6654846824093331e-10,1.5307835520897818e-11,0.005541604617578811
33.0,0.9943716233553226,0.005628376644677464,0.9922291503862942,0.0018635545233738479,0.0001918665193474521,8.675263436402753e-05,2.9911007578748647e-07,1.6655842511918593e-10,1.530875056578558e-11,0.005628376644677464
33.5,0.994284845829019,0.005715154170981046,0.9921118758317813,0.0018912237564030158,0.00019468102861660246,8.675780705958978e-05,3.0722328041831205e-07,1.665683668174206e-10,1.5309664215390745e-11,0.005715154170981046
34.0,0.9941980628116854,0.005801937188314544,0.9919946151383016,0.0019188762740508685,0.0001974928280970459,8.676297184183565e-05,3.154175053501489e-07,1.665782933274702e-10,1.5310576468964028e-11,0.005801937188314544
34.5,0.994111274311501,0.00588872568849893,0.9918773683042166,0.0019465120847746973,0.00020030192010073877,8.676812870667297e-05,3.236918027287341e-07,1.665882046413541e-10,1.5311487325773244e-11,0.00588872568849893
35.0,0.9940244803366487,0.005975519663351269,0.9917601353278884,0.00197413119702767,0.0002031083069376956,8.677327765010509e-05,3.320452343886541e-07,1.6659810075127623e-10,1.5312396785103192e-11,0.005975519663351269
35.5,0.9939376808953152,0.0060623191046848095,0.9916429162076792,0.0020017336192588316,0.00020591199091599054,8.677841866822983e-05,3.404768717551738e-07,1.666079816496233e-10,1.5313304846255427e-11,0.0060623191046848095
36.0,0.9938508759956909,0.006149124004309077,0.9915257109419511,0.0020293193599131075,0.00020871297434175894,8.67835517572385e-05,3.489857957470588e-07,1.6661784732896272e-10,1.531421150854812e-11,0.006149124004309077
36.5,0.9937640656459701,0.006235934354029968,0.9914085195290665,0.0020568884274313032,0.00021151125951919905,8.678867691341486e-05,3.5757109668038265e-07,1.6662769778204073e-10,1.531511677131585e-11,0.006235934354029968
37.0,0.9936772498543501,0.00632275014564985,0.9912913419673887,0.0020844408302501108,0.00021430684875057383,8.679379413313429e-05,3.662318741733076e-07,1.6663753300178068e-10,1.5316020633909467e-11,0.00632275014564985
37.5,0.9935904286290324,0.006409571370967638,0.9911741782552799,0.002111976576802105,0.0002170997443362121,8.679890341286267e-05,3.74967237051829e-07,1.6664735298128086e-10,1.531692309569589e-11,0.006409571370967638
38.0,0.9935036019782211,0.0064963980217788994,0.9910570283911035,0.00213949567551575,0.00021988994857451066,8.680400474915555e-05,3.8377630325647575e-07,1.6665715771381308e-10,1.5317824156057968e-11,0.0064963980217788994
38.5,0.9934167699101241,0.0065832300898759355,0.9909398923732228,0.0021669981348153983,0.00022267746376193552,8.680909813865714e-05,3.9265819974995366e-07,1.6666694719282049e-10,1.5318723814394282e-11,0.0065832300898759355
39.0,0.9933299324329521,0.006670067567047874,0.9908227702000009,0.0021944839631212946,0.00022546229219302377,8.681418357809942e-05,4.016120624257251e-07,1.6667672141191589e-10,1.5319622070119005e-11,0.006670067567047874
39.5,0.9932430895549192,0.006756910445080759,0.990705661869802,0.0022219531688495793,0.00022824443616038527,8.681926106430122e-05,4.106370360175145e-07,1.666864803648802e-10,1.5320518922661738e-11,0.006756910445080759
