B,R,a,Pfus,Pe,LCOE,capex,cap_mag,cap_nuc,cap_bop,cap_struct
10.0,1.8,0.5625,59.88041918476418,0.14977605760095258,129582.34669853268,1008.800786240122,36.64353671147135,751.9775182595295,0.1797312691211431,360.0
10.0,2.0,0.625,82.14049270886717,9.49900693772421,2178.2971088259033,1116.1161601413196,45.23893421169303,839.4784176043574,11.398808325269053,400.0
10.0,2.2,0.6875,109.32899579550221,20.918178234110933,1053.317397920876,1227.6098095783543,54.73911039614857,927.7688853012726,25.10181388093312,440.00000000000006
10.0,2.5,0.78125,160.43064982200622,42.38087292524261,570.1727191207409,1403.2279097228698,70.68583470577035,1061.6850275068084,50.85704751029114,500.0
10.0,3.0,0.9375,277.2241628924267,91.43414841481922,306.9276159065573,1720.3350196838967,101.78760197630928,1288.8264396098043,109.72097809778307,600.0
10.0,3.5,1.09375,440.22170311158504,159.8931153068657,202.94992318655642,2071.3186283048935,138.54423602330988,1520.9026539133447,191.87173836823882,700.0
10.0,4.0,1.25,657.1239416709374,250.9920555017937,148.94974089913123,2460.0598738663543,180.9557368467721,1757.9136704174298,301.19046660215247,800.0
11.0,1.6,0.5,61.57409043202684,0.8611179814512724,23128.050077286516,1052.5477385295621,31.848209685031886,799.6661872667888,1.033341577741527,387.20000000000005
11.0,1.8,0.5625,87.67092172841322,11.821787125933547,1811.2800780445682,1177.6715531932682,40.307890382618474,903.1775182595295,14.186144551120258,435.6
11.0,2.0,0.625,120.26189537505243,25.509996057522024,900.8654501934776,1307.8532405062463,49.76282763286232,1007.4784176043574,30.61199526902643,484.0
11.0,2.2,0.6875,160.06858274419477,42.228804752561814,583.1849967683554,1443.4564724401105,60.213021435763416,1112.5688853012728,50.67456570307418,532.4000000000001
11.0,2.5,0.78125,234.88651440439926,73.65233604984769,370.0416252487304,1657.822248942973,77.75441817634736,1271.6850275068084,88.38280325981722,605.0
11.0,3.0,0.9375,405.88389689080196,145.47123669413682,220.67657567395295,2047.3582858167088,111.96636217394021,1540.8264396098043,174.5654840329642,726.0
11.0,3.5,1.09375,644.5285955256716,245.70201012078206,153.08470838870198,2482.143725683924,152.39865962564085,1814.9026539133447,294.84241214493846,847.0
11.0,4.0,1.25,962.0951630004195,379.0799684601762,115.74592738194035,2967.8609431010905,199.05131053144927,2093.91367041743,454.89596215221144,968.0
12.0,1.6,0.5,87.20718114872678,11.627016082465246,1879.0892785359008,1215.5621080403273,34.743501474580235,946.8661872667888,13.952419298958295,460.8
12.0,1.8,0.5625,124.168037221527,27.150575633041335,871.1262424093715,1365.3304530729445,43.972244053765614,1068.7775182595294,32.5806907596496,518.4
12.0,2.0,0.625,170.32652568110697,46.53714078606494,549.0087165365952,1521.609707601667,54.286721054031624,1191.4784176043574,55.84456894327793,576.0
12.0,2.2,0.6875,226.70460568155337,70.2159343862524,392.3530132963126,1684.9149390401537,65.68693247537827,1314.9688853012726,84.25912126350288,633.6
12.0,2.5,0.78125,332.6689954709121,114.72097809778307,268.1231993320168,1944.1732028710726,84.8230016469244,1501.6850275068084,137.66517371733968,720.0
12.0,3.0,0.9375,574.8520241737361,216.43785015296916,169.72914726754698,2418.6969821649386,122.14512237157115,1816.8264396098043,259.725420183563,864.0
12.0,3.5,1.09375,912.8437235721826,358.3943639003167,121.66746109249888,2953.2289738216964,166.25308322797184,2136.9026539133447,430.07323668038003,1008.0
12.0,4.0,1.25,1362.6122054488558,547.2971262885195,94.08597843808266,3555.81710617978,217.1468842161265,2461.91367041743,656.7565515462234,1152.0
13.0,1.6,0.5,120.11594814760733,25.44869822199508,942.5019587714718,1395.0434183973118,37.638793264128594,1106.866187266789,30.538437866394094,540.8000000000001
13.0,1.8,0.5625,171.02446523360496,46.83027539811408,558.1525162192248,1572.610446462179,47.636597724912754,1248.7775182595294,56.1963304777369,608.4
13.0,2.0,0.625,234.60146122579556,73.53261371483414,386.4169983121865,1758.5281685373593,58.81061447520093,1391.4784176043574,88.23913645780097,676.0
13.0,2.2,0.6875,312.25454489153384,106.1469088544442,290.39023760218146,1953.5060194415987,71.16084351499313,1534.9688853012726,127.37629062533304,743.6
13.0,2.5,0.78125,458.20597895663195,167.44651116178542,207.31520500509671,2264.512426018452,91.89158511750145,1751.6850275068084,200.9358133941425,845.0
13.0,3.0,0.9375,791.77993163706,307.54757128756523,136.64657025579544,2838.2074077240845,132.32388256920208,2116.8264396098043,369.0570855450783,1014.0
13.0,3.5,1.09375,1257.3172062569981,503.0732266279392,100.42575394073218,3490.6980326971748,180.10750683030284,2486.9026539133447,603.6878719535271,1183.0
13.0,4.0,1.25,1876.8116898063645,763.2609097186731,79.10360135232207,4233.069219980642,235.2424579008037,2861.91367041743,915.9130916624077,1352.0
14.0,1.6,0.5,161.5620693966767,42.85606914660421,614.561649022299,1591.627555296391,40.53408505367695,1279.666187266789,51.42728297592505,627.2
14.0,1.8,0.5625,230.03661834019005,71.61537970287982,403.3678820777609,1800.4169252990453,51.30095139605989,1443.1775182595295,85.93845564345578,705.6
14.0,2.0,0.625,315.5509167903842,107.53138505196134,293.82517212880737,2019.8505875630813,63.334507896370226,1607.4784176043574,129.0376620623536,784.0
14.0,2.2,0.6875,419.9982702480013,151.39927350416053,227.72182550200145,2250.8827680608733,76.634754554608,1772.5688853012728,181.67912820499265,862.4000000000001
14.0,2.5,0.78125,616.3103843562191,233.850361429612,167.44487584125423,2621.2656298104216,98.96016858807849,2021.6850275068084,280.6204337155344,980.0
